threshold,coverage,precision,n_routed
0.604,0.8085239736759636,0.8647286821705427,5160
0.606,0.806957066750235,0.8652427184466019,5150
0.608,0.804763397054215,0.8656542056074766,5136
0.61,0.8022563459730492,0.866796875,5120
0.612,0.800219366969602,0.8674368513804582,5107
0.614,0.7986524600438734,0.8681577398469688,5097
0.616,0.7972422438107176,0.8685141509433962,5088
0.618,0.7948918834221247,0.8691109796964321,5073
0.62,0.7928549044186776,0.8703557312252964,5060
0.622,0.7905045440300846,0.8711595639246779,5045
0.624,0.7884675650266374,0.8720190779014309,5032
0.626,0.7859605139454716,0.8728070175438597,5016
0.628,0.7840802256345973,0.8735011990407674,5004
0.63,0.7825133187088686,0.8736483780536644,4994
0.632,0.7795361955499843,0.8739698492462311,4975
0.634,0.7768724537762457,0.8747478822105688,4958
0.636,0.7749921654653713,0.8756570966437526,4946
0.638,0.7724851143842055,0.8762677484787018,4930
0.64,0.768567847069884,0.8770642201834863,4905
0.642,0.7660607959887182,0.878093679689098,4889
0.644,0.7640238169852711,0.8789991796554553,4876
0.646,0.7619868379818239,0.8797038864898211,4863
0.648,0.7591664055155124,0.8796697626418989,4845
0.65,0.7558759009714823,0.8799751243781094,4824
0.652,0.7535255405828893,0.8800166354751507,4809
0.654,0.7519586336571608,0.8803917482808918,4799
0.656,0.750548417424005,0.8805845511482254,4790
0.658,0.7481980570354121,0.8802094240837697,4775
0.66,0.7456910059542463,0.8804370666106325,4759
0.662,0.7434973362582262,0.880927291886196,4745
0.664,0.7403635224067691,0.8819047619047619,4725
0.666,0.7378564713256033,0.8823529411764706,4709
0.668,0.7356628016295832,0.8828541001064962,4695
0.67,0.7334691319335631,0.8833582567827387,4681
0.672,0.7312754622375431,0.883436897364474,4667
0.674,0.7298652460043873,0.884499785315586,4658
0.676,0.7272015042306487,0.885585003232062,4641
0.678,0.7256345973049201,0.8859857482185273,4631
0.68,0.7218740206831714,0.8871282830475363,4607
0.682,0.7199937323722971,0.8877040261153427,4595
0.684,0.7176433719837042,0.8875545851528385,4580
0.686,0.7157630836728298,0.888353765323993,4568
0.688,0.7123158884362268,0.8889133304003519,4546
0.69,0.7101222187402069,0.8898940864960282,4532
0.692,0.7076151676590411,0.8901682905225864,4516
0.694,0.7051081165778753,0.8906666666666667,4500
0.696,0.7033845189595738,0.890621519269325,4489
0.698,0.7018176120338452,0.8910471087296271,4479
0.7,0.6996239423378251,0.8916013437849944,4465
0.702,0.6957066750235036,0.8923423423423423,4440
0.704,0.6936696960200565,0.8924779760560199,4427
0.706,0.6911626449388907,0.8934481976875992,4411
0.708,0.6886555938577249,0.89419795221843,4395
0.71,0.6844249451582576,0.8946886446886447,4368
0.712,0.682858038232529,0.8946764570904084,4358
0.714,0.6808210592290818,0.895512082853855,4345
0.716,0.6787840802256346,0.8961218836565097,4332
0.718,0.6751801942964588,0.8964957066604781,4309
0.72,0.6722030711375744,0.8976689976689977,4290
0.722,0.6693826386712629,0.8979400749063671,4272
0.724,0.66703227828267,0.8975804557199906,4257
0.726,0.6632717016609213,0.8981809591306402,4233
0.728,0.6596678157317455,0.8992874109263658,4210
0.73,0.6574741460357255,0.9001429933269781,4196
0.732,0.653556878721404,0.9000239750659315,4171
0.734,0.6510498276402382,0.9008423586040915,4155
0.736,0.6476026324036352,0.9020082264698766,4133
0.738,0.6447821999373238,0.9025516403402187,4115
0.74,0.6410216233155751,0.9027132730383769,4091
0.742,0.6374177373863993,0.9029006882989183,4068
0.744,0.6333437793795048,0.9030183077684315,4042
0.746,0.6302099655280476,0.9027846842366981,4022
0.748,0.6256659354434346,0.9033308289506636,3993
0.75,0.6222187402068318,0.9038025686225132,3971
0.752,0.6200250705108117,0.9037149355572404,3957
0.754,0.616264493889063,0.9046529366895499,3933
0.756,0.6126606079598872,0.9056265984654731,3910
0.758,0.6098401754935757,0.9062178828365879,3892
0.76,0.6054528361015356,0.9070910973084886,3864
0.762,0.6021623315575055,0.908144678636482,3843
0.764,0.5991852083986211,0.9087343096234309,3824
0.766,0.5955813224694453,0.909234411996843,3801
0.768,0.5922908179254153,0.9097883597883598,3780
0.77,0.5888436226888123,0.9105907397551889,3758
0.772,0.5849263553744908,0.9110634878114118,3733
0.774,0.5799122532121592,0.9119156984598757,3701
0.776,0.5770918207458478,0.9128427912028237,3683
0.778,0.5731745534315261,0.9127938764352105,3658
0.78,0.5692572861172046,0.913570052298376,3633
0.782,0.5640864932623002,0.9147222222222222,3600
0.784,0.5611093701034159,0.9148282602624965,3581
0.786,0.5556251958633657,0.9159616469261139,3546
0.788,0.5510811657787528,0.9164060278646574,3517
0.79,0.547477279849577,0.9175729822552948,3494
0.792,0.5429332497649639,0.918037518037518,3465
0.794,0.5397994359135068,0.918722786647315,3445
0.796,0.5360388592917581,0.9196141479099679,3421
0.798,0.5319649012848637,0.9192930780559646,3395
0.8,0.527107489815105,0.9191438763376932,3364
0.802,0.5238169852710749,0.9204307508226144,3343
0.804,0.5183328110310248,0.9204957678355502,3308
0.806,0.5145722344092761,0.9211327649208283,3284
0.808,0.5108116577875275,0.9211656441717792,3260
0.81,0.507834534628643,0.9213205800678803,3241
0.812,0.5021936696960201,0.9213728549141965,3205
0.814,0.4974929489188342,0.9225196850393701,3175
0.816,0.4934189909119398,0.9221975230231819,3149
0.818,0.48840488874960825,0.9230028873917228,3117
0.82,0.48448762143528673,0.9233505821474773,3092
0.822,0.4805703541209652,0.9240299967394848,3067
0.824,0.47602632403635226,0.9249506254114549,3038
0.826,0.4708555311814478,0.9254575707154742,3005
0.828,0.4678784080225635,0.9266577361018085,2986
0.83,0.4619241617047947,0.926729986431479,2948
0.832,0.45738013162018176,0.9263446385748544,2919
0.834,0.4523660294578502,0.9269137512989262,2887
0.836,0.4471952366029458,0.928521373510862,2854
0.838,0.44296458790347853,0.928546162009197,2827
0.84,0.4381071764337198,0.928826895565093,2796
0.842,0.4318395487308054,0.9292452830188679,2756
0.844,0.4257286117204638,0.9300699300699301,2717
0.846,0.4197743654026951,0.9301978350130645,2679
0.848,0.4142901911626449,0.9311649016641452,2644
0.85,0.4086493262300219,0.9317484662576687,2608
0.852,0.40269507991225323,0.9330739299610895,2570
0.854,0.3959573801316202,0.9343094578551642,2527
0.856,0.39047320589157003,0.934991974317817,2492
0.858,0.38483234095894703,0.9360749185667753,2456
0.86,0.3785647132560326,0.9379139072847682,2416
0.862,0.373550611093701,0.9379194630872483,2384
0.864,0.3683798182387966,0.9391748192258613,2351
0.866,0.3616421184581636,0.9393414211438474,2308
0.868,0.35412096521466624,0.9402654867256637,2260
0.87,0.3500470072077719,0.9404655326768129,2234
0.872,0.3439360701974303,0.9416856492027335,2195
0.874,0.33719837041679723,0.9428438661710037,2152
0.876,0.33077405202130994,0.9426811937470393,2111
0.878,0.326230021936697,0.9433237271853987,2082
0.88,0.31980570354120963,0.9446349828515433,2041
0.882,0.31306800376057664,0.944944944944945,1998
0.884,0.30523346913193355,0.9460985626283368,1948
0.886,0.2973989345032905,0.946786090621707,1898
0.888,0.2906612347226575,0.9455525606469003,1855
0.89,0.28439360701974303,0.947107438016529,1815
0.892,0.2781259793168286,0.948169014084507,1775
0.894,0.2704481353807584,0.9490150637311703,1726
0.896,0.2633970542149796,0.9535990481856038,1681
0.898,0.2560325916640552,0.9547123623011016,1634
0.9,0.24960827326856785,0.9548022598870056,1593
0.902,0.24083359448448763,0.9538061158100195,1537
0.904,0.23143215293011596,0.9553148273527421,1477
0.906,0.22469445314948291,0.9553695955369595,1434
0.908,0.21685991852083986,0.9559248554913294,1384
0.91,0.20714509558132246,0.9553706505295008,1322
0.912,0.19946725164525228,0.9544383346425765,1273
0.914,0.1921027890943278,0.9543230016313213,1226
0.916,0.18505170792854905,0.9568162574089755,1181
0.918,0.177217173299906,0.9566755083996463,1131
0.92,0.17000940144155438,0.9566820276497696,1085
0.922,0.16170479473519273,0.9563953488372093,1032
0.924,0.15434033218426826,0.9553299492385787,985
0.926,0.1477593230962081,0.9565217391304348,943
0.928,0.14023816985271076,0.9553072625698324,895
0.93,0.13130680037605766,0.9558472553699284,838
0.932,0.12237543089940457,0.9603072983354674,781
0.934,0.11438420557818865,0.963013698630137,730
0.936,0.10670636164211846,0.9647577092511013,681
0.938,0.09918520839862112,0.9699842022116903,633
0.94,0.08994045753682231,0.9721254355400697,574
0.942,0.0827326856784707,0.9734848484848485,528
0.944,0.0750548417424005,0.9707724425887265,479
0.946,0.06800376057662175,0.9746543778801844,434
0.948,0.062362895643998745,0.9748743718592965,398
0.95,0.05531181447821999,0.9801699716713881,353
0.952,0.04857411469758696,0.9806451612903225,310
0.954,0.04387339392040113,0.9785714285714285,280
0.956,0.03870260106549671,0.979757085020243,247
0.958,0.03321842682544657,0.9811320754716981,212
0.96,0.027734252585396427,0.9774011299435028,177
0.962,0.024443748041366342,0.9807692307692307,156
0.964,0.01864619241617048,0.9747899159663865,119
0.966,0.015512378564713256,0.9696969696969697,99
0.968,0.01206518332811031,0.961038961038961,77
0.97,0.009244750861798809,0.9661016949152542,59
